PSID,year,DPROVI,DKABUP,LABOR,CBNECU,CMNECU,CVNECU,CONECU,CTNECU,EPLKHU,ENPKHU,RTLVCU,YPRVCU,VTLVCU,V1101,V1103,V1106,V1109,V1112,V1115,OUTPUT,IINPUT,IHPBAkh,IHPBAnt,IHPBMent,IHK,rOUTPUT,rPROD,rVA,CAPITAL,CAPElec,IHPBmat,MATERIAL,rIINPUT,rINVEST,y,va,l,k,m,i
2618,2011,12,06,20,,,,,,11000,0,1060000,1560000,465495,1500000,100000,115000,40000,0,1755000,1560000,1094505,106.3352,105.483,109.35,160.03819,1467058.9,1467058.9,290864.94,16637.752,11000,107.4165,986813,1018935.6,,14.198771,12.580614,2.9957323,9.3056507,13.83427,
2618,2012,12,06,25,,,,,,24000,0,1249000,1847200,500750,0,0,0,0,0,0,1847200,1346450,112.055,110.122,115.2485,150.46001,1648476.3,1648476.3,332812.69,0,24000,112.68525,1108397.1,1194876.9,-16637.752,14.315362,12.715335,3.2188759,10.085809,13.993554,
2618,2013,12,06,26,,,,,,30230,0,1249000,2047000,687950,350000,500000,300000,40000,0,1190000,2047000,1359050,103.88,119.6,117.08,142.17999,1970543,1970543,483858.5,9949.833,30230,118.34,1055433.5,1148428.3,9949.833,14.493819,13.089548,3.2580965,10.31659,13.953905,9.2053108
2620,2011,12,06,21,,,,,,11300,0,882150,1650000,725245,850000,250000,125000,40000,0,1265000,1650000,924755,106.3352,105.483,109.35,160.03819,1551696.9,1551696.9,453169.94,11992.453,11300,107.4165,821242.5,860905.88,,14.25486,13.024022,3.0445225,9.3325577,13.66574,
2620,2012,12,06,23,,,,,,12000,0,877750,1500000,577575,900000,200000,120000,35000,0,1255000,1500000,922425,112.055,110.122,115.2485,150.46001,1338628.4,1338628.4,383872.78,11396.451,12000,112.68525,778939.56,818585.38,-596.00195,14.107156,12.858067,3.1354942,9.392662,13.615333,
2620,2013,12,06,22,,,,,,30000,0,771835,1584000,755800,950000,200000,150000,50000,10000,1360000,1584000,828200,103.88,119.6,117.08,142.17999,1524836.4,1524836.4,531579.69,11371.237,30000,118.34,652218.19,699847.94,-25.213867,14.237397,13.183608,3.0910425,10.308952,13.458618,
2623,2011,12,06,20,,,,,,16000,0,1108800,1560000,393050,584100,102000,112000,50000,5000,853100,1560000,1166950,106.3352,105.483,109.35,160.03819,1467058.9,1467058.9,245597.63,8087.5591,16000,107.4165,1032243.6,1086378.6,,14.198771,12.411449,2.9957323,9.6803436,13.89836,
2623,2012,12,06,20,,,,,,16000,0,1053000,1560000,447850,0,0,0,0,0,0,1560000,1112150,112.055,110.122,115.2485,150.46001,1392173.5,1392173.5,297653.84,0,16000,112.68525,934461.25,986952.63,-8087.5591,14.146377,12.603686,2.9957323,9.6803436,13.802378,
2623,2013,12,06,22,,,,,,14250,0,1141940,1720000,516052,585000,110000,112500,52000,5600,865100,1720000,1203948,103.88,119.6,117.08,142.17999,1655756.6,1655756.6,362956.84,7233.2778,14250,118.34,964965.38,1017363.6,7233.2778,14.319769,12.802039,3.0910425,9.5645123,13.832726,8.8864479
2624,2011,12,06,25,,,,,,15333,0,830800,1364000,485900,210000,50000,45000,50000,0,355000,1364000,878100,106.3352,105.483,109.35,160.03819,1282736.1,1282736.1,303615.03,3365.4712,15333,107.4165,773437.94,817472.13,,14.064506,12.623516,3.2188759,9.637763,13.613972,
