PSID,year,DPROVI,DKABUP,y,CAPITAL,MATERIAL,va,l,k,m,i
2618,2011,12,6.0,14.198771,16637.752,986813.0,12.580614,2.9957323,9.3056507,13.83427,0.0
2618,2012,12,6.0,14.315362,0.0,1108397.1,12.715335,3.2188759,10.085809,13.993554,0.0
2618,2013,12,6.0,14.493819,9949.833,1055433.5,13.089548,3.2580965,10.31659,13.953905,9.2053108
2620,2011,12,6.0,14.25486,11992.453,821242.5,13.024022,3.0445225,9.3325577,13.66574,0.0
2620,2012,12,6.0,14.107156,11396.451,778939.56,12.858067,3.1354942,9.392662,13.615333,0.0
2620,2013,12,6.0,14.237397,11371.237,652218.19,13.183608,3.0910425,10.308952,13.458618,0.0
2623,2011,12,6.0,14.198771,8087.5591,1032243.6,12.411449,2.9957323,9.6803436,13.89836,0.0
2623,2012,12,6.0,14.146377,0.0,934461.25,12.603686,2.9957323,9.6803436,13.802378,0.0
2623,2013,12,6.0,14.319769,7233.2778,964965.38,12.802039,3.0910425,9.5645123,13.832726,8.8864479
2624,2011,12,6.0,14.064506,3365.4712,773437.94,12.623516,3.2188759,9.637763,13.613972,0.0
2624,2012,12,6.0,14.090688,3341.7483,793564.38,12.809137,3.1780539,9.6158056,13.618667,0.0
2626,2011,12,74.0,13.542653,15452.727,476774.03,12.042087,3.1354942,8.9809275,13.123622,0.0
2626,2012,12,74.0,13.703619,14710.957,474085.13,12.586893,3.1354942,9.0809145,13.119006,0.0
2626,2013,12,74.0,13.685877,13712.375,482246.94,12.303092,3.2188759,8.994669,13.134908,0.0
2626,2014,12,74.0,13.888072,13214.286,495306.41,13.229498,3.1780539,9.0673933,13.153977,0.0
2631,2012,12,6.0,14.267005,8508.7451,976170.38,12.920607,3.0445225,9.6803436,13.831617,0.0
2632,2011,12,6.0,14.25486,7898.9028,818775.5,13.009376,3.2958369,10.085809,13.677079,0.0
2632,2012,12,6.0,14.139946,0.0,840283.0,12.83593,3.3672957,9.8521938,13.68104,0.0
2632,2013,12,6.0,14.108186,6935.6187,317001.88,13.403192,3.1780539,9.9781771,12.849961,8.8444252
2647,2011,12,6.0,14.063039,3270.6692,907253.5,12.349555,2.9957323,9.2103405,13.736479,0.0
2647,2012,12,6.0,14.03566,3350.8291,884516.81,12.432017,3.2188759,9.546813,13.715194,4.3840237
2647,2013,12,6.0,14.325565,3193.98,871336.0,13.068311,3.2580965,9.5645123,13.702086,0.0
2651,2011,12,6.0,14.15955,11148.716,982158.19,12.42954,2.9957323,9.4727049,13.839072,0.0
2651,2012,12,6.0,14.202466,0.0,959309.25,12.780962,3.0445225,9.6158056,13.805192,0.0
2651,2013,12,6.0,14.342758,3076.9231,948960.63,12.951561,3.0910425,9.6388712,13.79616,8.0316858
5713,2014,31,75.0,19.068312,0.0,39624492.0,18.830244,5.7807436,11.225244,17.500605,0.0
5713,2015,31,75.0,17.49902,0.0,25848886.0,16.713486,5.7807436,10.212772,17.073425,0.0
6167,2012,31,72.0,17.389214,1639365.6,11907421.0,16.655722,6.0014148,10.212772,16.348475,0.0
